Longitude,Latitude,Mammal,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,Mean.Elevation,SD.Elevation
-25,35,6,164.9166667,52.58333333,37.25,2884.777778,244.4444444,105.1944444,139.25,142.0555556,196.5277778,206.0833333,132.25,1033.722222,133.6388889,34.72222222,39.5,378.6666667,120.9444444,161.3055556,347.25,300.3965566,274.4714812
-15,35,6,174.0666667,57.73333333,45.26666667,2500.6,243.2,116.7333333,126.4666667,157.6,200,208.3333333,145.6,573.6,93.66666667,3.2,69.86666667,271.3333333,20,31.53333333,228.6,660.8446602,447.8544105
-5,35,110,166.5159399,125.2499084,39.91608648,6257.697691,339.495786,28.63539758,310.8603884,122.8922682,242.7988274,250.3569073,89.77061195,395.6046171,58.23671675,3.885305973,53.8739465,158.9963357,23.47966288,26.50897765,144.4272627,754.9924518,522.0122845
5,35,85,188.9845679,128.6415895,37.13271605,7374.340278,374.5030864,33.98842593,340.5146605,135.3591821,284.0462963,285.7835648,96.75925926,227.3186728,33.29050926,2.704861111,49.68287037,89.55594136,17.45987654,21.1558642,80.34529321,487.2142761,359.8482504
15,35,110,188.2608311,116.8045977,40.43589744,5793.489832,333.8081344,52.27409372,281.5340407,137.428824,258.7798408,260.5773652,112.5870911,251.3731211,43.32272325,2.203359859,69.78956676,115.0389036,10.81874447,20.36251105,100.8037135,310.0061251,261.8662748
25,35,132,169.0278409,105.5659091,39.44829545,5736.948295,308.0965909,44.61136364,263.4852273,103.8596591,239.6994318,241.2102273,96.10965909,460.6397727,89.16761364,5.082954545,80.77159091,233.1505682,21.27897727,23.5125,220.3795455,368.8385666,402.2591917
35,35,141,151.9654793,125.1171502,38.18949688,7235.352185,325.3073816,-0.315828131,325.6232097,81.35181785,240.081895,241.3966214,56.89460154,361.3213368,63.29305913,3.068307014,71.66177011,169.9632758,13.20492104,19.39735586,163.094014,840.4248959,520.3415654
45,35,147,165.5869444,136.0558333,35.20444444,8711.129722,369.3491667,-10.41527778,379.7644444,88.39694444,270.2469444,274.1916667,51.84583333,349.0991667,62.95833333,3.305555556,76.26083333,165.1738889,12.55222222,15.54888889,137.8683333,874.5346575,816.1074442
55,35,137,161.3676732,142.7726465,36.17673179,8779.691533,363.6258141,-25.04085258,388.6666667,96.70811131,267.4138544,273.1640024,46.84162226,186.9721729,35.01006513,1.847542925,75.51924216,91.23090586,7.60597987,10.04795737,71.40941385,1089.521821,759.6695498
65,35,149,134.0480556,146.7038889,36.13361111,8859.066111,340.7652778,-59.36555556,400.1308333,63.29277778,231.6591667,246.5566667,16.48638889,272.1772222,58.82222222,0.717777778,88.47833333,149.5422222,4.403888889,10.89638889,112.8441667,1284.446453,969.6416234
75,35,238,74.12694444,118.1497222,31.37805556,8725.936944,256.6047222,-116.7130556,373.3177778,126.1930556,42.59888889,179.1413889,-44.57388889,441.3316667,93.51972222,7.4825,69.00666667,230.6425,36.33333333,135.9158333,87.29805556,2695.359599,1870.866235
